Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
1540937,Al Sultan Limited,2001 E 75th St,,Chicago,IL,60649,3623,COOK,Convenience Store,41.758617,-87.575951,,,213113
1547472,Moyony Fresh,1538 W Jarvis Ave,,Chicago,IL,60626,1923,COOK,Other,42.016041,-87.67012,,,213127
1547724,Kabul Naan 1006,2336 W Devon Ave,,Chicago,IL,60659,2011,COOK,Specialty Store,41.997822,-87.688919,,,213308
1279535,Cremeria La Ordena 3,3234 W 26th St,,Chicago,IL,60623,4033,COOK,Grocery Store,41.84454,-87.706589,,,213649
1137412,7 Eleven 33908A,451 N State St,,Chicago,IL,60654,4609,COOK,Other,41.890251,-87.627983,,,213864
1113579,Burnham Quick Mart Inc,1201 N Austin Blvd,,Chicago,IL,60651,1024,COOK,Convenience Store,41.902222,-87.775322,,,213975
1185717,Lupita's Grocery,2401 S Christiana Ave,,Chicago,IL,60623,4010,COOK,Grocery Store,41.847946,-87.708733,,,213996
1310528,54 Food & Liquor,5400 S Halsted St,,Chicago,IL,60609,6167,COOK,Convenience Store,41.795853,-87.645241,,,214000
1548512,Alliance Poultry Farm Market Inc.,1636 W Chicago Ave,,Chicago,IL,60622,5238,COOK,Specialty Store,41.896324,-87.66877,,,214151
1550892,Ashar International Market Llc,5723 N California Ave,,Chicago,IL,60659,4703,COOK,Grocery Store,41.985706,-87.698822,,,214433
1550894,BP,5200 W Addison St,,Chicago,IL,60641,3302,COOK,Convenience Store,41.946259,-87.757278,,,214441
1548064,Big Boy Deli & Grill 2 Inc,343 E 79th St,,Chicago,IL,60619,2840,COOK,Convenience Store,41.750881,-87.616234,,,214488
1548358,Michoacana Supermarket Corporation,6850 W Belmont Ave,,Chicago,IL,60634,4647,COOK,Supermarket,41.938568,-87.797684,,,214588
1490210,Go Green Community Fresh Market,1207 W 63rd St,,Chicago,IL,60636,1921,COOK,Other,41.779411,-87.654953,,,214648
1550586,Damen Fuel,7050 S Damen Ave,,Chicago,IL,60636,3266,COOK,Convenience Store,41.765182,-87.673889,,,214705
1490480,Hollywood & Broadway Shell,5701 N Broadway St,,Chicago,IL,60660,4301,COOK,Convenience Store,41.985725,-87.659668,,,214761
1541078,Pinches Tacos Y Michoacana,3801 S Kedzie Ave,,Chicago,IL,60632,2710,COOK,Convenience Store,41.824287,-87.704201,,,215052
1541165,Otter Oaks Farm,4431 S Federal St,,Chicago,IL,60609,    ,COOK,Farmers and Markets,41.814007,-87.62825,,,215085
1511326,Midwest Quality Meats Inc.,3104 W 63rd St,,Chicago,IL,60629,2720,COOK,Specialty Store,41.779049,-87.700935,,,215167
1541676,CC Stop Shop Discount Inc,15 S Cicero Ave,,Chicago,IL,60644,4458,COOK,Convenience Store,41.880116,-87.745033,,,215201
1542054,Frans Deli & Grocery Inc,1841 W 87th St,,Chicago,IL,60620,4721,COOK,Convenience Store,41.73531,-87.670044,,,215291
1541926,Samh Chicago LLC 1,2959 W Belmont Ave,1st Fl,Chicago,IL,60618,    ,COOK,Convenience Store,41.939156,-87.702553,,,215524
1511532,Circle K 4706901,850 N State St,,Chicago,IL,60610,8693,COOK,Convenience Store,41.898537,-87.628578,,,215613
1511533,Circle K 4706900,3180 N Broadway St,,Chicago,IL,60657,4509,COOK,Convenience Store,41.939861,-87.644722,,,215619
1511535,Circle K 4706897,200 N la Salle St,,Chicago,IL,60601,1014,COOK,Convenience Store,41.886066,-87.633003,,,215625
1511839,4647 Pulaski Inc,4647 S Pulaski Rd,,Chicago,IL,60632,4037,COOK,Convenience Store,41.808178,-87.723305,,,215725
1511840,7-Eleven 33734J,1508 N Damen Ave,,Chicago,IL,60622,1905,COOK,Convenience Store,41.908524,-87.677956,,,215732
1541373,Shell,11600 S Michigan Ave,,Chicago,IL,60628,5645,COOK,Convenience Store,41.6824,-87.620949,,,215751
1541810,International Foods Nw,4404 W Fullerton Ave,,Chicago,IL,60639,1932,COOK,Grocery Store,41.924732,-87.737015,,,215775
1541552,Happy Grocery & Tobacco Inc,1065 W Granville Ave,,Chicago,IL,60660,2131,COOK,Convenience Store,41.994427,-87.657959,,,215884
976641,7-Eleven 33729A,45 E Chicago Ave,,Chicago,IL,60611,2027,COOK,Convenience Store,41.89666,-87.626633,,,216168
971952,7-ELEVEN 33727A,200 S Racine Ave,,Chicago,IL,60607,2815,COOK,Convenience Store,41.879017,-87.65715,,,216242
1549046,7-Eleven 419961,3743 S Archer Ave,,Chicago,IL,60632,1011,COOK,Convenience Store,41.825329,-87.685753,,,216287
1549631,71st Public Wholesale,21 E 71st St,,Chicago,IL,60619,    ,COOK,Other,41.765385,-87.624062,,,216363
1549316,Lojeen Inc 1,4459 S Washtenaw Ave,,Chicago,IL,60632,1902,COOK,Convenience Store,41.812088,-87.691566,,,216513
858961,North & Pulaski Fresh Market,3850 W North Ave,,Chicago,IL,60647,4641,COOK,Supermarket,41.909958,-87.723267,,,217072
1218519,Seafood Junction  4 Inc,1317 E 87th St,,Chicago,IL,60619,7024,COOK,Other,41.736477,-87.592155,,,217077
1295672,Tip Top Liquors,2700 W North Ave,,Chicago,IL,60647,5237,COOK,Convenience Store,41.910557,-87.694763,,,217189
789856,Target Store 942,2656 N Elston Ave,,Chicago,IL,60647,2019,COOK,Super Store,41.930416,-87.685303,,,217360
1510581,Aaa Grocery Store,347 E 47th St,,Chicago,IL,60653,4010,COOK,Convenience Store,41.809189,-87.61776,,,217533
1565941,Supermercado La Tortilla Inc 1,5917 S Western Ave,,Chicago,IL,60636,2017,COOK,Grocery Store,41.786003,-87.682236,,,217675
1473132,Le Paris Bakery #3 Inc,4450 S Kedzie Ave,,Chicago,IL,60632,2815,COOK,Specialty Store,41.812065,-87.70443,,,217680
1474515,Roosevelt Operations Inc,1549 W Roosevelt Rd,,Chicago,IL,60608,1333,COOK,Convenience Store,41.866596,-87.665871,,,217812
1473268,7100 Gas Mart,7100 S Halsted St,,Chicago,IL,60621,1728,COOK,Convenience Store,41.76495,-87.644768,,,217888
1558967,Mobil On Cottage,9452 S Cottage Grove Ave,,Chicago,IL,60619,7720,COOK,Convenience Store,41.722439,-87.605026,,,218219
1559008,Mama Africa Food Store,6812 N Clark St,,Chicago,IL,60626,3207,COOK,Grocery Store,42.005795,-87.673576,,,218232
1559093,Two Blue Foods,702 E 100th Pl,,Chicago,IL,60628,1688,COOK,Convenience Store,41.712433,-87.605148,,,218255
1551722,Citgo,6700 S Halsted St,,Chicago,IL,60621,1814,COOK,Convenience Store,41.772339,-87.644958,,,218277
1551770,Chicago Best Food & Tobacco,2016 W 119th St,,Chicago,IL,60643,4818,COOK,Convenience Store,41.677628,-87.671425,,,218587
1559380,Circle K 4706909,1004 W Foster Ave,,Chicago,IL,60640,2404,COOK,Convenience Store,41.976471,-87.6549,,,218941
1542751,Diamond Express Mart,2000 W 79th St,,Chicago,IL,60620,5720,COOK,Grocery Store,41.750572,-87.673615,,,219012
1542846,63rd & Mozart Food Mart Inc 1,2835 W 63rd St,,Chicago,IL,60629,2354,COOK,Convenience Store,41.77882,-87.694771,,,219046
1542852,Seafood Shack & Steak Market On Stony,7005 S Stony Island Ave,,Chicago,IL,60649,1905,COOK,Specialty Store,41.767632,-87.585403,,,219048
1542334,DOLLARTREE 9190,627 W Roosevelt Rd,,Chicago,IL,60607,4911,COOK,Other,41.867142,-87.643364,,,219348
1550493,Happy Market,2334 S Wentworth Ave,Ste 103,Chicago,IL,60616,2038,COOK,Grocery Store,41.849869,-87.632271,,,219403
1586471,Target Store T3447,4728 W Irving Park Rd,,Chicago,IL,60641,2701,COOK,Other,41.953491,-87.746094,,,219543
1566929,Wazy Food Mart Inc,1706 E 79th St,,Chicago,IL,60649,4904,COOK,Other,41.751751,-87.582886,,,219548
1501967,BJ's  Market & Bakery,1737 E 95th St,,Chicago,IL,60617,4708,COOK,Restaurant Meals Program,41.721058,-87.581276,,,219580
1552216,Eddies Market,11105 S Halsted St,,Chicago,IL,60628,3910,COOK,Grocery Store,41.692165,-87.642029,,,219932
1552295,Jpt Gas Inc,5448 W 55th St,,Chicago,IL,60638,3839,COOK,Convenience Store,41.793095,-87.759567,,,219959
1552314,Ashland Liquor,6257 S Ashland Ave,,Chicago,IL,60636,2323,COOK,Convenience Store,41.779736,-87.663895,,,219968
993429,7-Eleven 17859C,5562 N Lincoln Ave,,Chicago,IL,60625,2213,COOK,Convenience Store,41.98278,-87.694633,,,220264
1179187,J & A Convenient Store,1108 W Argyle St,,Chicago,IL,60640,3610,COOK,Convenience Store,41.973274,-87.65815,,,220789
836838,Henry Citgo,8300 S Stony Island Ave,,Chicago,IL,60617,1757,COOK,Convenience Store,41.744125,-87.585854,,,220884
1166564,Supermercado Antonio's Corp NONE,2656 S Homan Ave,,Chicago,IL,60623,4615,COOK,Grocery Store,41.842854,-87.71022,,,221138
1528451,La Flor Grocery Store Inc,10500 S Avenue M,,Chicago,IL,60617,6215,COOK,Grocery Store,41.704453,-87.537956,,,221141
